,for,(,;,expression),{,},if,),else,while,identifier,:=,int,bool,char,=+,-,*,/,number,==,!=,<,>,<=,>=,$,program,statement,for_statement,if_statement,while_statement,assignment,type,expression,term,factor,condition,relational_operator
0,s11,,,,,,s7,,,s8,s17,,s13,s14,s15,,,,,s16,,,,,,,,,1,6,2,3,5,10,4,9,12,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,
7,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,r15,,,r15,,r15,,,,,,,,s20,s21,,,,r15,r15,r15,r15,r15,r15,r15,,,,,,,,,,,,
10,,,,,,,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,r18,,,r18,,r18,,,,,,,,r18,r18,s24,s25,,r18,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,
13,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r21,,,r21,,r21,,,,,,,,r21,r21,r21,r21,,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,
17,,,r22,,,r22,,r22,,,,,,,,r22,r22,r22,r22,,r22,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,
18,,,,,,,,,,,s17,,,,,,,,,s16,,,,,,,,,,,,,,,27,9,12,26,
19,,,,,,,,,,,s17,,,,,,,,,s16,,,,,,,,,,,,,,,27,9,12,28,
20,,,,,,,,,,,s17,,,,,,,,,s16,,,,,,,,,,,,,,,29,9,12,,
21,,,,,,,,,,,s17,,,,,,,,,s16,,,,,,,,,,,,,,,30,9,12,,
22,,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,s13,s14,s15,,,,,,,,,,,,,,,,,,32,10,,,,,
24,,,,,,,,,,,s17,,,,,,,,,s16,,,,,,,,,,,,,,,,33,12,,
25,,,,,,,,,,,s17,,,,,,,,,s16,,,,,,,,,,,,,,,,34,12,,
26,,,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,s37,s38,s39,s40,s41,s42,,,,,,,,,,,,,36
28,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,r16,,,r16,,r16,,,,,,,,,,,,,r16,r16,r16,r16,r16,r16,r16,,,,,,,,,,,,
30,,,r17,,,r17,,r17,,,,,,,,,,,,,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,
31,,,,,,,,,,,s17,,,,,,,,,s16,,,,,,,,,,,,,,,44,9,12,,
32,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,r19,,,r19,,r19,,,,,,,,r19,r19,,,,r19,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,
34,,,r20,,,r20,,r20,,,,,,,,r20,r20,,,,r20,r20,r20,r20,r20,r20,r20,,,,,,,,,,,,
35,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
